location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance,University of Birmingham,"GBP 23,580",/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance/p/PRG-UK-00073095,september
United Kingdom,16 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance (Pathway 3),University of Birmingham,"GBP 31,440",/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance-Pathway-3/p/PRG-UK-00274915,september
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance Pathway 2,University of Birmingham,"GBP 29,733",/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-2/p/PRG-UK-00364501,september
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance (Pathway 2),University of Birmingham,"GBP 23,580",/global/Categories/University-of-Birmingham/MSc-International-Accounting-and-Finance-Pathway-2/p/PRG-UK-00274914,september
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Accounting,The Australian National University,"AUD 88,940",/global/Categories/The-Australian-National-University/Master-of-Accounting/p/PRG-AU-00063908,"feb,july"
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),accounting,Accounting and Financial Management MSc,Lancaster University,"GBP 23,000",/global/Categories/Lancaster-University/Accounting-and-Financial-Management-MSc/p/PRG-UK-00077559,october
United Kingdom,16 Month(s),7.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance Pathway 3,University of Birmingham,"GBP 42,968",/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-3/p/PRG-UK-00364502,september
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,Monash University,"AUD 91,600",/global/Categories/Monash-University/Master-of-Professional-Accounting/p/PRG-AU-00202965,"feb,march,june,july"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Accounting and Finance MSc,University of Nottingham,"GBP 30,000",/global/Categories/University-of-Nottingham/Accounting-and-Finance-MSc/p/PRG-UK-00157853,september
Australia,2 Year(s),7.0 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,The University of Sydney,"AUD 103,000",/global/Categories/The-University-of-Sydney/Master-of-Professional-Accounting/p/PRG-AU-00100722,"feb,march,august"
location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance Pathway 2,University of Birmingham,"GBP 29,733",/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-2/p/PRG-UK-00364501,september
United Kingdom,16 Month(s),7.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance Pathway 3,University of Birmingham,"GBP 42,968",/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-3/p/PRG-UK-00364502,september
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),accounting,Accounting and Financial Management MSc,Lancaster University,"GBP 23,000",/global/Categories/Lancaster-University/Accounting-and-Financial-Management-MSc/p/PRG-UK-00077559,october
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance,University of Birmingham,"GBP 23,580",/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance/p/PRG-UK-00073095,september
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Accounting,The Australian National University,"AUD 88,940",/global/Categories/The-Australian-National-University/Master-of-Accounting/p/PRG-AU-00063908,"feb,july"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance (Pathway 2),University of Birmingham,"GBP 23,580",/global/Categories/University-of-Birmingham/MSc-International-Accounting-and-Finance-Pathway-2/p/PRG-UK-00274914,september
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,Monash University,"AUD 91,600",/global/Categories/Monash-University/Master-of-Professional-Accounting/p/PRG-AU-00202965,"feb,march,june,july"
United Kingdom,16 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance (Pathway 3),University of Birmingham,"GBP 31,440",/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance-Pathway-3/p/PRG-UK-00274915,september
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Accounting and Finance MSc,University of Nottingham,"GBP 30,000",/global/Categories/University-of-Nottingham/Accounting-and-Finance-MSc/p/PRG-UK-00157853,september
Australia,2 Year(s),7.0 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,The University of Sydney,"AUD 103,000",/global/Categories/The-University-of-Sydney/Master-of-Professional-Accounting/p/PRG-AU-00100722,"feb,march,august"
location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
United Kingdom,16 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance (Pathway 3),University of Birmingham,"GBP 31,440",/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance-Pathway-3/p/PRG-UK-00274915,september
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSc International Accounting and Finance,University of Birmingham,"GBP 23,580",/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance/p/PRG-UK-00073095,september
